_id,angka,path
65d404c5cb6a80a3f6434ab6,1101122014002,https://pemilu2024.kpu.go.id/pilpres/hitung-suara/11/1101/110112/1101122014/1101122014002
65d404c5cb6a80a3f6434ab7,1102132002001,https://pemilu2024.kpu.go.id/pilpres/hitung-suara/11/1102/110213/1102132002/1102132002001
65d404c5cb6a80a3f6434ab8,1102102017001,https://pemilu2024.kpu.go.id/pilpres/hitung-suara/11/1102/110210/1102102017/1102102017001
65d404c5cb6a80a3f6434ab9,1108142010001,https://pemilu2024.kpu.go.id/pilpres/hitung-suara/11/1108/110814/1108142010/1108142010001
65d404c5cb6a80a3f6434aba,1174042001003,https://pemilu2024.kpu.go.id/pilpres/hitung-suara/11/1174/117404/1174042001/1174042001003
65d404c5cb6a80a3f6434abb,1175022008004,https://pemilu2024.kpu.go.id/pilpres/hitung-suara/11/1175/117502/1175022008/1175022008004
65d404c5cb6a80a3f6434abc,3671101005032,https://pemilu2024.kpu.go.id/pilpres/hitung-suara/36/3671/367110/3671101005/3671101005032
65d404c5cb6a80a3f6434abd,3601251014007,https://pemilu2024.kpu.go.id/pilpres/hitung-suara/36/3601/360125/3601251014/3601251014007
65d404c5cb6a80a3f6434abe,3604342004001,https://pemilu2024.kpu.go.id/pilpres/hitung-suara/36/3604/360434/3604342004/3604342004001
65d404c5cb6a80a3f6434abf,3604292013009,https://pemilu2024.kpu.go.id/pilpres/hitung-suara/36/3604/360429/3604292013/3604292013009
65d404c5cb6a80a3f6434ac0,3604242001001,https://pemilu2024.kpu.go.id/pilpres/hitung-suara/36/3604/360424/3604242001/3604242001001
65d404c5cb6a80a3f6434ac1,3603042008004,https://pemilu2024.kpu.go.id/pilpres/hitung-suara/36/3603/360304/3603042008/3603042008004
65d404c5cb6a80a3f6434ac2,3603281005072,https://pemilu2024.kpu.go.id/pilpres/hitung-suara/36/3603/360328/3603281005/3603281005072
65d404c5cb6a80a3f6434ac3,3603082001014,https://pemilu2024.kpu.go.id/pilpres/hitung-suara/36/3603/360308/3603082001/3603082001014
65d404c5cb6a80a3f6434ac4,3603152003027,https://pemilu2024.kpu.go.id/pilpres/hitung-suara/36/3603/360315/3603152003/3603152003027
65d404c5cb6a80a3f6434ac5,3603152012041,https://pemilu2024.kpu.go.id/pilpres/hitung-suara/36/3603/360315/3603152012/3603152012041
65d404c5cb6a80a3f6434ac6,3603152012044,https://pemilu2024.kpu.go.id/pilpres/hitung-suara/36/3603/360315/3603152012/3603152012044
65d404c5cb6a80a3f6434ac7,3603112006003,https://pemilu2024.kpu.go.id/pilpres/hitung-suara/36/3603/360311/3603112006/3603112006003
65d404c5cb6a80a3f6434ac8,3603292005002,https://pemilu2024.kpu.go.id/pilpres/hitung-suara/36/3603/360329/3603292005/3603292005002
65d404c5cb6a80a3f6434ac9,3603312006011,https://pemilu2024.kpu.go.id/pilpres/hitung-suara/36/3603/360331/3603312006/3603312006011
